product_id,brand,product_name,market_category,transformation_family,transformation_subtype,fold_mechanism,fold_architecture,compacting_motion,deployment_state,review_status,release_year,price_usd,display_size_in,mass_g,deployed_length_mm,deployed_width_mm,deployed_height_mm,folded_length_mm,folded_width_mm,folded_height_mm,compression_ratio,claimed_fold_cycles,certification_or_standard,primary_materials,primary_use_case,region_or_market,portability_gain_score,mechanism_novelty_score,market_availability_score,evidence_quality_score,measurement_completeness_score,certification_relevance_score,foldability_score,price_usd_per_score,source_type,source_url,normalized_source_url,source_domain,remarks,missing_measurements
oru-kayak-inlet,Oru Kayak,Inlet,folding watercraft,foldable,origami-panel-fold,origami panel fold,folded corrugated polymer hull,crease-pattern hull deployment,commercial,canonical_seed,2012.0,,,8165.0,,,,,,,,,,corrugated polypropylene,portable recreational kayak,various,5.0,5.0,4.5,4.0,0.455,2.0,4.04,,official product page,https://www.orukayak.com/products/oru-kayak-portable-folding-lightweight-recreational-kayak-for-beginners,https://orukayak.com/products/oru-kayak-portable-folding-lightweight-recreational-kayak-for-beginners,orukayak.com,Origami-inspired box-to-boat product class.,"price_usd, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
foldscope-instruments-foldscope-paper-microscope,Foldscope Instruments,Foldscope Paper Microscope,scientific education,foldable,origami-panel-fold,origami paper assembly,folded paper optical instrument,crease-pattern optical structure assembly,commercial,canonical_seed,2014.0,10.99,,,,,,,,,,,,"paper, lens, adhesive, optional LED",portable microscopy education,various,5.0,5.0,4.5,5.0,0.455,1.0,4.14,2.65,official product page,https://foldscope.com/,https://foldscope.com,foldscope.com,Low-cost foldable paper microscope.,"mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
overade-plixi-foldable-helmet,Overade,Plixi Foldable Helmet,urban mobility safety,hybrid,segmented-shell-collapse,multi-hinge folding shell,segmented hardshell,multi-axis shell folding,commercial,canonical_seed,2018.0,,,,,,,,,,3.0,,"CPSC, CE EN1078","EPS, shell, hinge hardware",bike and scooter helmet,various,4.5,4.5,4.0,4.0,0.909,5.0,4.006,,official product page,https://overade.com/en/products/plixi-foldable-urban-bike-helmet,https://overade.com/en/products/plixi-foldable-urban-bike-helmet,overade.com,Folded storage volume claim is roughly three times smaller.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, claimed_fold_cycles"
sea-to-summit-x-cup,Sea to Summit,X-Cup,collapsible drinkware,collapsible,telescoping-or-nesting-collapse,collapsible nested silicone rings,telescoping drink cup,axial nesting collapse,commercial,needs_measurements,,,,,,,,,,,,,,silicone,camping drinkware,various,4.2,3.5,4.5,3.8,0.0,1.5,3.41,,official product page,https://seatosummit.com/products/x-cup,https://seatosummit.com/products/x-cup,seatosummit.com,Useful telescoping cookware category anchor.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
stojo-collapsible-cup,Stojo,Collapsible Cup,collapsible drinkware,collapsible,telescoping-or-nesting-collapse,collapsible silicone cup,nested elastomer cup,axial nesting collapse,commercial,needs_measurements,,,,,,,,,,,,,,"silicone, polymer lid",portable drinkware,various,4.0,3.3,4.2,3.5,0.0,1.5,3.211,,official product page,https://stojo.co/products/cup,https://stojo.co/products/cup,stojo.co,Everyday collapsible drinkware entry.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
hydrapak-stow,HydraPak,Stow,collapsible outdoor gear,collapsible,soft-vessel-collapse,soft-vessel collapse,flexible hydration bottle,volume evacuation and flattening,commercial,needs_measurements,,,,,,,,,,,,,,"TPU, cap hardware",portable hydration,various,4.4,3.4,4.2,3.6,0.0,1.5,3.36,,official product page,https://hydrapak.com/products/stow-500-ml-2021,https://hydrapak.com/products/stow-500-ml-2021,hydrapak.com,Soft-vessel collapsible bottle entry.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
bose-quietcomfort-ultra-headphones-2nd-gen,Bose,QuietComfort Ultra Headphones (2nd Gen),foldable headphones,foldable,headphone-hinge-fold,fold-flat earcup and headband hinge system,over-ear noise-cancelling headphones with compact case storage,earcup rotation and headband folding into carrying case,commercial,needs_measurements,,,,,,,,,,,,,,"polymer, metal hinge hardware, acoustic drivers, electronics",portable active-noise-cancelling listening,US and international,3.8,2.8,4.7,4.5,0.0,1.5,3.325,,official product page,https://www.bose.com/p/headphones/bose-quietcomfort-ultra-headphones-2nd-gen/QCUH2-HEADPHONEARN.html,https://bose.com/p/headphones/bose-quietcomfort-ultra-headphones-2nd-gen/QCUH2-HEADPHONEARN.html,bose.com,"Premium Bose over-ear entry; add case dimensions, folded dimensions, mass, and hinge-cycle evidence if available.","price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
jackery-solarsaga-100w,Jackery,SolarSaga 100W,foldable solar panel,foldable,rigid-hinge-fold,panel bi-fold,folding photovoltaic panel,hinged planar panel folding,commercial,needs_measurements,,,,,,,,,,,,,,"photovoltaic cells, laminate, fabric, wiring",portable power generation,various,4.2,3.2,4.5,3.8,0.0,2.5,3.433,,official product page,https://www.jackery.com/products/solarsaga-100w-solar-panel,https://jackery.com/products/solarsaga-100w-solar-panel,jackery.com,Portable panel category anchor.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
montague-boston,Montague,Boston,folding bicycle,foldable,rigid-hinge-fold,patented full-size frame folding system,minimalist single-speed full-size folding bicycle frame,rigid-body frame folding,commercial,needs_measurements,,,,,,,,,,,,,,"aluminum frame, drivetrain, wheels",simple urban folding bicycle transport,US and international,4.2,3.8,4.0,4.1,0.0,2.0,3.476,,official product page,https://www.montaguebikes.com/product/boston/,https://montaguebikes.com/product/boston,montaguebikes.com,Simplified full-size Montague folding-bike entry; useful baseline for separating mechanism complexity from drivetrain complexity.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
montague-navigator,Montague,Navigator,folding bicycle,foldable,rigid-hinge-fold,patented full-size frame folding system,700c-wheel multi-use folding bicycle frame,rigid-body frame folding,commercial,needs_measurements,,,,,,,,,,,,,,"aluminum frame, drivetrain, wheels","commuting, fitness, and mixed-surface riding",US and international,4.4,4.0,4.0,4.2,0.0,2.0,3.588,,official product page,https://www.montaguebikes.com/product/navigator/,https://montaguebikes.com/product/navigator,montaguebikes.com,Full-size 700c folding-bike entry; useful contrast against small-wheel folding bicycle architectures.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
montague-paratrooper,Montague,Paratrooper,folding bicycle,foldable,rigid-hinge-fold,patented full-size frame folding system,full-size folding mountain bicycle frame,rigid-body frame folding,commercial,needs_measurements,,,,,,,,,,,,,,"aluminum frame, drivetrain, wheels",folding mountain bicycle for rugged transport,US and international,4.4,4.0,4.0,4.2,0.0,2.0,3.588,,official product page,https://www.montaguebikes.com/product/paratrooper/,https://montaguebikes.com/product/paratrooper,montaguebikes.com,"Military-derived full-size folding mountain-bike family entry; add folded dimensions, mass, and frame-size data during review.","price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
montague-paratrooper-elite,Montague,Paratrooper Elite,folding bicycle,foldable,rigid-hinge-fold,patented full-size frame folding system,high-performance folding hardtail mountain bicycle frame,rigid-body frame folding,commercial,needs_measurements,,,,,,,,,,,,,,"aluminum frame, drivetrain, wheels",technical-trail folding mountain bicycle,US and international,4.3,4.2,3.8,4.2,0.0,2.0,3.564,,official product page,https://www.montaguebikes.com/product/paratrooper-elite/,https://montaguebikes.com/product/paratrooper-elite,montaguebikes.com,"High-end Montague folding mountain-bike anchor; add component, mass, folded-volume, and deployed geometry measurements.","price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
montague-paratrooper-express,Montague,Paratrooper Express,folding bicycle,foldable,rigid-hinge-fold,patented full-size frame folding system,full-size folding mountain bicycle frame,rigid-body frame folding,commercial,needs_measurements,,,,,,,,,,,,,,"aluminum frame, Shimano drivetrain, wheels",folding mountain bicycle with broad gearing,US and international,4.3,3.9,3.8,4.1,0.0,2.0,3.489,,official product page,https://www.montaguebikes.com/product/paratrooper-express/,https://montaguebikes.com/product/paratrooper-express,montaguebikes.com,Montague folding mountain-bike variant with an 18-speed drivetrain; add geometry and folded-dimension measurements during review.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
montague-paratrooper-highline,Montague,Paratrooper Highline,folding bicycle,foldable,rigid-hinge-fold,patented full-size frame folding system,27.5 inch wheel folding mountain bicycle frame,rigid-body frame folding,commercial,needs_measurements,,,,,,,,,,,,,,"aluminum frame, suspension fork, drivetrain, wheels",cross-country folding mountain bicycle,US and international,4.3,4.1,3.8,4.1,0.0,2.0,3.527,,official product page,https://www.montaguebikes.com/product/paratrooper-highline/,https://montaguebikes.com/product/paratrooper-highline,montaguebikes.com,"Rugged 27.5 inch Montague folding mountain-bike entry; add mass, folded footprint, and suspension component data.","price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
montague-paratrooper-pro,Montague,Paratrooper Pro,folding bicycle,foldable,rigid-hinge-fold,patented full-size frame folding system,upgraded full-size folding mountain bicycle frame,rigid-body frame folding,commercial,needs_measurements,,,,,,,,,,,,,,"aluminum frame, drivetrain, wheels",performance folding mountain bicycle,US and international,4.4,4.0,4.0,4.2,0.0,2.0,3.588,,official product page,https://www.montaguebikes.com/product/paratrooper-pro/,https://montaguebikes.com/product/paratrooper-pro,montaguebikes.com,Performance-oriented Paratrooper variant; useful for comparing folding-bike geometry across component tiers.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
tern-link-d8,Tern,Link D8,folding bicycle,foldable,rigid-hinge-fold,multi-joint frame fold,hinged aluminum bicycle frame,rigid-body frame folding,commercial,needs_measurements,,,,,,,,,,,,,,"aluminum frame, drivetrain, wheels",urban transportation,various,4.7,3.7,4.5,3.8,0.0,2.0,3.628,,official product page,https://www.ternbicycles.com/us/bikes/472/link-d8,https://ternbicycles.com/us/bikes/472/link-d8,ternbicycles.com,Useful comparison point against Brompton-style folding geometry.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
gocycle-g4,Gocycle,G4,folding e-bike,foldable,rigid-hinge-fold,hinged e-bike frame fold,folding electric bicycle frame,rigid-body frame folding,commercial,needs_measurements,,,,,,,,,,,,,,"composite frame, battery, motor, drivetrain",electric urban transportation,various,4.6,4.2,4.0,3.8,0.0,2.2,3.626,,official product page,https://gocycle.com/models/g4/,https://gocycle.com/models/g4,gocycle.com,Folding e-bike entry with powered drivetrain constraints.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
montague-m-e1,Montague,M-E1,folding e-bike,foldable,rigid-hinge-fold,patented full-size e-bike frame folding system,full-size folding electric bicycle frame,rigid-body frame folding with integrated electric-assist hardware,commercial,needs_measurements,,,,,,,,,,,,,,"aluminum frame, battery, mid-drive motor, drivetrain, wheels","folding electric bicycle for commuting, RV, aviation, and marine storage",US and international,4.5,4.4,4.0,4.3,0.0,2.5,3.75,,official product page,https://www.montaguebikes.com/product/m-e1/,https://montaguebikes.com/product/m-e1,montaguebikes.com,"Full-size folding e-bike entry; review should capture battery mass, motor type, folded dimensions, deployed dimensions, and transport use-case constraints.","price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
tucktec-folding-kayak,Tucktec,Folding Kayak,folding watercraft,foldable,origami-panel-fold,folded polymer hull,flat-sheet folding kayak hull,crease-pattern hull deployment,commercial,needs_measurements,,,,,,,,,,,,,,"polymer sheet, fastening hardware",portable recreational kayak,various,4.7,4.4,4.0,3.8,0.0,2.0,3.676,,official product page,https://tucktec.com/products/tucktec-folding-kayak,https://tucktec.com/products/tucktec-folding-kayak,tucktec.com,Complementary folding watercraft architecture.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
moft-snap-phone-stand-and-wallet,MOFT,Snap Phone Stand and Wallet,portable workstation,foldable,origami-panel-fold,thin origami stand fold,folding phone support accessory,thin-panel crease deployment,commercial,needs_measurements,,,,,,,,,,,,,,"polymer, vegan leather, magnets",portable phone stand and grip,various,3.7,3.9,4.2,3.8,0.0,1.0,3.255,,official product page,https://www.moft.us/products/moft-snap-on-phone-stand-wallet-magsafe-compatible,https://moft.us/products/moft-snap-on-phone-stand-wallet-magsafe-compatible,moft.us,Compact crease-based accessory architecture.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
helinox-chair-one,Helinox,Chair One,folding furniture,unclassified,unclassified,collapsible pole frame,shock-corded frame plus fabric seat,frame disassembly and fabric folding,commercial,needs_measurements,,,,,,,,,,,,,,"aluminum poles, textile seat",portable outdoor seating,various,4.6,3.5,4.5,3.8,0.0,1.5,3.522,,official product page,https://helinox.com/products/chair-one,https://helinox.com/products/chair-one,helinox.com,Collapsible frame product with load-bearing textile surface.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
vapur-anti-bottle,Vapur,Anti-Bottle,collapsible outdoor gear,collapsible,soft-vessel-collapse,soft-vessel collapse,flexible water bottle pouch,volume evacuation and rolling or flattening,commercial,needs_source_review,,,,,,,,,,,,,,"flexible multilayer film, cap",portable hydration,various,4.4,3.5,4.0,3.2,0.0,1.5,3.273,,official site,https://vapur.us/,https://vapur.us,vapur.us,Soft-bottle family entry for manual product-level expansion.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
beats-studio-pro,Beats,Studio Pro,foldable headphones,foldable,headphone-hinge-fold,folding over-ear headphone hinge,over-ear active-noise-cancelling headphone with travel hinge geometry,earcup and headband hinge folding,commercial,needs_source_review,,,,,,,,,,,,,,"polymer, metal hinge hardware, acoustic drivers, electronics",portable premium wireless listening,US and international,3.7,2.7,5.0,4.0,0.0,1.5,3.239,,official product page,https://www.beatsbydre.com/headphones/studio-pro-wireless,https://beatsbydre.com/headphones/studio-pro-wireless,beatsbydre.com,Popular Beats over-ear entry; keep under source review until folded dimensions and official fold-language are verified.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
samsung-galaxy-z-flip,Samsung,Galaxy Z Flip,foldable smartphone,foldable,flexible-display-fold,folding flexible OLED display,clamshell-fold smartphone,controlled-radius flexible display fold,commercial,needs_source_review,,,,,,,,,,,,,,"flexible OLED, ultra-thin glass, hinge",compact smartphone,various,4.2,4.4,5.0,4.0,0.0,2.5,3.782,,official product family page,https://www.samsung.com/us/smartphones/galaxy-z-flip/,https://samsung.com/us/smartphones/galaxy-z-flip,samsung.com,Canonical clamshell smartphone family entry.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
samsung-galaxy-z-fold,Samsung,Galaxy Z Fold,foldable smartphone,foldable,flexible-display-fold,folding flexible OLED display,book-fold smartphone,controlled-radius flexible display fold,commercial,needs_source_review,,,7.6,,,,,,,,,,,"flexible OLED, ultra-thin glass, hinge",phone-tablet hybrid computing,various,4.5,4.5,5.0,4.0,0.0,2.5,3.885,,official product family page,https://www.samsung.com/us/smartphones/galaxy-z-fold/,https://samsung.com/us/smartphones/galaxy-z-fold,samsung.com,Canonical book-fold smartphone family entry.,"price_usd, mass_g, deployed_length_mm, deployed_width_mm, deployed_height_mm, folded_length_mm, folded_width_mm, folded_height_mm, compression_ratio, claimed_fold_cycles, certification_or_standard"
